trial,feedback,run_num,agent_interv,participant,prob_win_L,prob_win_R,mine_key.keys,L_stim_pos,R_stim_pos,intervention_choice_key.keys,subj_choice,condition,participant,latent_guess,feedback,trigger_onset,trial_onset,trial_offset,isi1_onset,isi1_offset,fb_onset,fb_offset,isi2_onset,isi2_offset,interv_onset,interv_offset,iti_onset,iti_offset,iri_onset,iri_offset
24,1,3,0,2,0.3,0.7,1,right,left,2,1,benevolent,2,0,1,1793.399678,324.642666,325.13857,325.140293,326.636489,326.642531,328.169166,328.171184,330.17051,330.177892,331.472087,331.481786,338.144836,422.205049,432.206847
25,0,3,0,2,0.3,0.7,2,left,right,1,2,benevolent,2,1,0,1806.979163,338.21873,338.721544,338.72319,341.220475,341.22929,342.753254,342.755588,346.753489,346.765686,347.230295,347.235862,353.720332,422.205049,432.206847
26,0,3,0,2,0.3,0.7,1,right,left,2,1,benevolent,2,0,0,1822.546879,353.797114,354.289091,354.290736,356.787502,356.796209,358.320874,358.323163,362.321289,362.333774,362.956734,362.963347,368.304804,422.205049,432.206847
27,1,3,0,2,0.3,0.7,1,right,left,2,1,benevolent,2,0,1,1837.206102,368.377082,368.948489,368.950212,370.946881,370.954192,372.479808,372.481792,374.479961,374.487391,375.190049,375.196211,381.38048,422.205049,432.206847
28,1,3,1,2,0.3,0.7,1,right,left,2,1,benevolent,2,0,1,1850.628274,381.456802,382.365374,382.36708,384.363559,384.372884,385.897027,385.898998,388.897235,388.907393,389.415551,389.420481,396.463863,422.205049,432.206847
29,1,3,1,2,0.3,0.7,2,left,right,2,2,benevolent,2,0,1,1865.343471,396.54045,397.082709,397.084465,399.580812,399.589632,401.122981,401.125346,404.123017,404.133181,404.849198,404.855404,410.047789,422.205049,432.206847
30,1,3,1,2,0.3,0.7,1,right,left,2,1,benevolent,2,0,1,1878.89528,410.12299,410.633566,410.635296,412.631081,412.638787,414.164875,414.168908,416.165526,416.173146,417.124629,417.132035,422.131455,422.205049,432.206847
1,0,4,1,2,0.7,0.3,1,right,left,2,1,adversarial,2,0,0,1990.213202,0.052304999999933,1.25075500000003,1.25302099999999,3.74889600000006,3.75808499999994,5.29034000000001,5.29321000000004,7.29067299999997,7.29841199999987,8.72579399999995,8.73606300000006,12.5571619999998,422.787752,432.782709
2,0,4,0,2,0.7,0.3,1,left,right,2,1,adversarial,2,0,0,2002.210435,12.631171,13.2425189999999,13.246486,14.740867,14.7467019999999,16.273921,16.275973,18.274803,18.282369,19.076051,19.0828709999998,24.132897,422.787752,432.782709
3,0,4,0,2,0.7,0.3,2,left,right,1,2,adversarial,2,1,0,2013.94531,24.2085099999999,24.9847459999999,24.986435,27.4831380000001,27.49199,29.016597,29.018589,31.016517,31.0239179999999,31.9509419999999,31.95821,36.7167039999999,422.787752,432.782709
